snapshot id,description,started,size,volume,volume exists,instance,instance exists,ami,ami exists
snap-0300951271c418ff4,Snapshot of volume (vol-08c3d5e8a4e6634bb),2018-12-03 18:18:59+00:00,8,vol-08c3d5e8a4e6634bb,True,,,,
snap-0dce555f608ade9fa,Snapshot of volume (vol-0c2f13d1d36f3d0de),2018-12-03 16:37:52+00:00,8,vol-0c2f13d1d36f3d0de,False,,,,
snap-04cdd764910ce2663,Encrypted copy of snapshot #snap-00dc9f396dbe0d182,2018-12-03 06:24:02+00:00,8,vol-ffffffff,False,,,,
snap-05ad987e679fe7987,Snapshot of volume (vol-04534e23788bd7082),2018-12-03 06:00:02+00:00,8,vol-04534e23788bd7082,False,,,,
snap-04d511372c9f8b8f1,Encrypted copy of snapshot #snap-0f51f2fe3ac02448c,2018-12-03 05:37:25+00:00,8,vol-ffffffff,False,,,,
snap-0f51f2fe3ac02448c,Snapshot of volume (vol-0508f9b96e5133b1f),2018-12-03 05:36:54+00:00,8,vol-0508f9b96e5133b1f,False,,,,
snap-08af0fd5387cf74a0,Snapshot of volume (vol-0df14cf1dd8c164ed),2018-12-03 05:31:33+00:00,8,vol-0df14cf1dd8c164ed,False,,,,
snap-0ea8799f1dc8089b2,Encrypted copy of snapshot #snap-0959bd1928cda0d49,2018-12-03 05:38:11+00:00,8,vol-ffffffff,False,,,,
snap-0896cbcfc36b9443d,Encrypted copy of snapshot #snap-097b614f10ddb661e,2018-12-03 05:36:39+00:00,8,vol-ffffffff,False,,,,
snap-01c50c17e9b6162cb,Encrypted copy of snapshot #snap-08af0fd5387cf74a0,2018-12-03 05:33:35+00:00,8,vol-ffffffff,False,,,,
snap-0d2b98aee2cf7c0e0,Snapshot of volume (vol-0a034ac67cd8e671c),2018-12-02 23:21:54+00:00,8,vol-0a034ac67cd8e671c,True,,,,
snap-012b34bea378b31e7,testnap2-itadmin,2018-12-02 23:20:15+00:00,8,vol-ffffffff,False,,,,
snap-0a84eacfaf1ac27ae,Snapshot of volume (vol-02da50f60b1f57b12),2018-12-02 22:21:48+00:00,8,vol-02da50f60b1f57b12,True,,,,
snap-054f410c84fb562e6,testsnap1,2018-12-02 22:14:11+00:00,8,vol-021508f1b6f5d5a46,True,,,,
snap-04f87a45b4028e712,Encrypted copy of snapshot (snap-0ed00535da79714fc),2018-12-02 22:25:44+00:00,8,vol-ffffffff,False,,,,
snap-0cffea4e6d31f1f81,testencryptofencyrptsnapsoht,2018-12-02 23:16:03+00:00,8,vol-ffffffff,False,,,,
snap-0f8b2d25d776e9d99,testroot,2018-12-02 23:30:16+00:00,8,vol-ffffffff,False,,,,
snap-0262575dc8c0b9645,Created by CreateImage(i-02c1fd2e398219d69) for ami-03ae5bea494757da0 from vol-0c9f0b9778ca1a7df,2018-12-02 01:08:26+00:00,8,vol-0c9f0b9778ca1a7df,True,i-02c1fd2e398219d69,True,ami-03ae5bea494757da0,True
snap-006d811efad950e9c,Created by CreateImage(i-02c1fd2e398219d69) for ami-03ae5bea494757da0 from vol-02da50f60b1f57b12,2018-12-02 01:08:25+00:00,8,vol-02da50f60b1f57b12,True,i-02c1fd2e398219d69,True,ami-03ae5bea494757da0,True
snap-0aa7648f7c8797608,Created by CreateImage(i-02c1fd2e398219d69) for ami-03ae5bea494757da0 from vol-021508f1b6f5d5a46,2018-12-02 01:08:26+00:00,8,vol-021508f1b6f5d5a46,True,i-02c1fd2e398219d69,True,ami-03ae5bea494757da0,True
snap-03f79e980ae92fb51,Created by CreateImage(i-036f75780f096c4f6) for ami-00a812b1cf4f05e0b from vol-04534e23788bd7082,2018-12-01 21:02:49+00:00,8,vol-04534e23788bd7082,False,i-036f75780f096c4f6,True,ami-00a812b1cf4f05e0b,True
